id_property,description,label
CHOP780210,Normalized frequency of N-terminal non beta region,Group 2
CHOP780211,Normalized frequency of C-terminal non beta region,Group 2
CHOP780212,Frequency of the 1st residue in turn,Group 0
CHOP780213,Frequency of the 2nd residue in turn,Group 2
CHOP780214,Frequency of the 3rd residue in turn,Group 2
CHOP780215,Frequency of the 4th residue in turn,Group 2
CHOP780216,Normalized frequency of the 2nd and 3rd residues in turn,Group 2
CIDH920101,Normalized hydrophobicity scales for alpha-proteins,Group 7
CIDH920102,Normalized hydrophobicity scales for beta-proteins,Group 7
CIDH920103,Normalized hydrophobicity scales for alpha+beta-proteins,Group 0
CIDH920104,Normalized hydrophobicity scales for alpha/beta-proteins,Group 7
CIDH920105,Normalized average hydrophobicity scales,Group 0
COHE430101,Partial specific volume,Group 1
CRAJ730101,Normalized frequency of middle helix,Group 2
CRAJ730102,Normalized frequency of beta-sheet,Group 0
CRAJ730103,Normalized frequency of turn,Group 2
DAWD720101,Size,Group 7
DAYM780101,Amino acid composition,Group 1
DAYM780201,Relative mutability,Group 4
DESM900101,Membrane preference for cytochrome b: MPH89,Group 4
DESM900102,Average membrane preference: AMP07,Group 1
EISD840101,Consensus normalized hydrophobicity scale,Group 7
EISD860101,Solvation free energy,Group 0
EISD860102,Atom-based hydrophobic moment,Group 2
EISD860103,Direction of hydrophobic moment,Group 2
FASG760101,Molecular weight,Group 0
FASG760102,Melting point,Group 2
FASG760103,Optical rotation,Group 0
FASG760104,pK-N,Group 0
FASG760105,pK-C,Group 0
FAUJ830101,Hydrophobic parameter pi,Group 0
FAUJ880101,Graph shape index,Group 3
FAUJ880102,Smoothed upsilon steric parameter,Group 2
FAUJ880103,Normalized van der Waals volume,Group 4
FAUJ880104,STERIMOL length of the side chain,Group 7
FAUJ880105,STERIMOL minimum width of the side chain,Group 7
FAUJ880106,STERIMOL maximum width of the side chain,Group 7
FAUJ880107,N.m.r. chemical shift of alpha-carbon,Group 1
FAUJ880108,Localized electrical effect,Group 2
FAUJ880109,Number of hydrogen bond donors,Group 3
FAUJ880110,Number of full nonbonding orbitals,Group 3
FAUJ880111,Positive charge,Group 0
FAUJ880112,Negative charge,Group 0
FAUJ880113,pK-a(RCOOH),Group 4
FINA770101,Helix-coil equilibrium constant,Group 7
FINA910101,Helix initiation parameter at posision i-1,Group 1
FINA910102,"Helix initiation parameter at posision i,i+1,i+2",Group 6
FINA910103,"Helix termination parameter at posision j-2,j-1,j",Group 1
FINA910104,Helix termination parameter at posision j+1,Group 4
GARJ730101,Partition coefficient,Group 2
GEIM800101,Alpha-helix indices,Group 3
GEIM800102,Alpha-helix indices for alpha-proteins,Group 7
GEIM800103,Alpha-helix indices for beta-proteins,Group 7
GEIM800104,Alpha-helix indices for alpha/beta-proteins,Group 7
GEIM800105,Beta-strand indices,Group 3
GEIM800106,Beta-strand indices for beta-proteins,Group 3
GEIM800107,Beta-strand indices for alpha/beta-proteins,Group 3
GEIM800108,Aperiodic indices,Group 7
GEIM800109,Aperiodic indices for alpha-proteins,Group 3
GEIM800110,Aperiodic indices for beta-proteins,Group 7
GEIM800111,Aperiodic indices for alpha/beta-proteins,Group 3
GOLD730101,Hydrophobicity factor,Group 7
GOLD730102,Residue volume,Group 4
GRAR740101,Composition,Group 4
GRAR740102,Polarity,Group 0
GRAR740103,Volume,Group 4
GUYH850101,Partition energy,Group 4
HOPA770101,Hydration number,Group 3
HOPT810101,Hydrophilicity value,Group 2
HUTJ700101,Heat capacity,Group 2
HUTJ700102,Absolute entropy,Group 0
HUTJ700103,Entropy of formation,Group 0
ISOY800101,Normalized relative frequency of alpha-helix,Group 2
ISOY800102,Normalized relative frequency of extended structure,Group 4
ISOY800103,Normalized relative frequency of bend,Group 4
ISOY800104,Normalized relative frequency of bend R,Group 4
ISOY800105,Normalized relative frequency of bend S,Group 4
ISOY800106,Normalized relative frequency of helix end,Group 4
ISOY800107,Normalized relative frequency of double bend,Group 4
ISOY800108,Normalized relative frequency of coil,Group 0
JANJ780101,Average accessible surface area,Group 4
JANJ780102,Percentage of buried residues,Group 2
JANJ780103,Percentage of exposed residues,Group 0
JANJ790101,Ratio of buried and accessible molar fractions,Group 6
JANJ790102,Transfer free energy,Group 2
JOND750101,Hydrophobicity,Group 0
JOND750102,pK (-COOH),Group 2
JOND920101,Relative frequency of occurrence,Group 4
JOND920102,Relative mutability,Group 4
JUKT750101,Amino acid distribution,Group 1
JUNJ780101,Sequence frequency,Group 0
KANM800101,Average relative probability of helix ,Group 4
KANM800102,Average relative probability of beta-sheet ,Group 2
KANM800103,Average relative probability of inner helix ,Group 1
KANM800104,Average relative probability of inner beta-sheet ,Group 4
KARP850101,Flexibility parameter for no rigid neighbors,Group 0
KARP850102,Flexibility parameter for one rigid neighbor,Group 0
KARP850103,Flexibility parameter for two rigid neighbors,Group 0
KHAG800101,The Kerr-constant increments,Group 7
KLEP840101,Net charge,Group 2
KRIW710101,Side chain interaction parameter,Group 0
KRIW790101,Side chain interaction parameter,Group 0
KRIW790102,Fraction of site occupied by water,Group 7
KRIW790103,Side chain volume,Group 2
KYTJ820101,Hydropathy index,Group 3
LAWE840101,"Transfer free energy, CHP/water",Group 2
LEVM760101,Hydrophobic parameter,Group 0
LEVM760102,Distance between C-alpha and centroid of side chain,Group 2
LEVM760103,Side chain angle theta(AAR),Group 4
LEVM760104,Side chain torsion angle phi(AAAR),Group 2
LEVM760105,Radius of gyration of side chain,Group 7
LEVM760106,van der Waals parameter R0,Group 1
LEVM760107,van der Waals parameter epsilon,Group 4
LEVM780101,"Normalized frequency of alpha-helix, with weights",Group 7
LEVM780102,"Normalized frequency of beta-sheet, with weights",Group 7
LEVM780103,"Normalized frequency of reverse turn, with weights",Group 7
LEVM780104,"Normalized frequency of alpha-helix, unweighted",Group 2
LEVM780105,"Normalized frequency of beta-sheet, unweighted",Group 2
LEVM780106,"Normalized frequency of reverse turn, unweighted",Group 2
LEWP710101,Frequency of occurrence in beta-bends,Group 1
LIFS790101,Conformational preference for all beta-strands,Group 4
LIFS790102,Conformational preference for parallel beta-strands,Group 4
LIFS790103,Conformational preference for antiparallel beta-strands,Group 4
MANP780101,Average surrounding hydrophobicity,Group 0
MAXF760101,Normalized frequency of alpha-helix,Group 0
MAXF760102,Normalized frequency of extended structure,Group 2
MAXF760103,Normalized frequency of zeta R,Group 4
MAXF760104,Normalized frequency of left-handed alpha-helix,Group 2
MAXF760105,Normalized frequency of zeta L,Group 4
MAXF760106,Normalized frequency of alpha region,Group 2
MCMT640101,Refractivity,Group 0
MEEJ800101,"Retention coefficient in HPLC, pH7.4",Group 7
MEEJ800102,"Retention coefficient in HPLC, pH2.1",Group 0
MEEJ810101,Retention coefficient in NaClO4,Group 7
MEEJ810102,Retention coefficient in NaH2PO4,Group 7
MEIH800101,Average reduced distance for C-alpha,Group 0
MEIH800102,Average reduced distance for side chain,Group 0
MEIH800103,Average side chain orientation angle,Group 2
MIYS850101,Effective partition energy,Group 4
NAGK730101,Normalized frequency of alpha-helix,Group 0
NAGK730102,Normalized frequency of bata-structure,Group 2
NAGK730103,Normalized frequency of coil,Group 0
NAKH900101,AA composition of total proteins,Group 6
NAKH900102,SD of AA composition of total proteins,Group 6
NAKH900103,AA composition of mt-proteins,Group 1
NAKH900104,Normalized composition of mt-proteins,Group 1
NAKH900105,AA composition of mt-proteins from animal,Group 1
NAKH900106,Normalized composition from animal,Group 1
NAKH900107,AA composition of mt-proteins from fungi and plant,Group 6
NAKH900108,Normalized composition from fungi and plant,Group 1
NAKH900109,AA composition of membrane proteins,Group 1
NAKH900110,Normalized composition of membrane proteins,Group 1
NAKH900111,Transmembrane regions of non-mt-proteins,Group 2
NAKH900112,Transmembrane regions of mt-proteins,Group 4
NAKH900113,Ratio of average and computed composition,Group 6
NAKH920101,AA composition of CYT of single-spanning proteins,Group 1
NAKH920102,AA composition of CYT2 of single-spanning proteins,Group 1
NAKH920103,AA composition of EXT of single-spanning proteins,Group 1
NAKH920104,AA composition of EXT2 of single-spanning proteins,Group 1
NAKH920105,AA composition of MEM of single-spanning proteins,Group 1
NAKH920106,AA composition of CYT of multi-spanning proteins,Group 1
NAKH920107,AA composition of EXT of multi-spanning proteins,Group 1
NAKH920108,AA composition of MEM of multi-spanning proteins,Group 1
NISK800101,8 A contact number,Group 3
NISK860101,14 A contact number,Group 3
NOZY710101,"Transfer energy, organic solvent/water",Group 2
OOBM770101,Average non-bonded energy per atom,Group 4
OOBM770102,Short and medium range non-bonded energy per atom,Group 6
OOBM770103,Long range non-bonded energy per atom,Group 1
OOBM770104,Average non-bonded energy per residue,Group 4
OOBM770105,Short and medium range non-bonded energy per residue,Group 6
OOBM850101,Optimized beta-structure-coil equilibrium constant,Group 0
OOBM850102,Optimized propensity to form reverse turn,Group 2
OOBM850103,Optimized transfer energy parameter,Group 4
OOBM850104,Optimized average non-bonded energy per atom,Group 1
OOBM850105,Optimized side chain interaction parameter,Group 2
PALJ810101,Normalized frequency of alpha-helix from LG,Group 2
PALJ810102,Normalized frequency of alpha-helix from CF,Group 2
PALJ810103,Normalized frequency of beta-sheet from LG,Group 2
PALJ810104,Normalized frequency of beta-sheet from CF,Group 2
PALJ810105,Normalized frequency of turn from LG,Group 2
PALJ810106,Normalized frequency of turn from CF,Group 2
PALJ810107,Normalized frequency of alpha-helix in all-alpha class,Group 2
PALJ810108,Normalized frequency of alpha-helix in alpha+beta class,Group 2
PALJ810109,Normalized frequency of alpha-helix in alpha/beta class,Group 2
PALJ810110,Normalized frequency of beta-sheet in all-beta class,Group 2
PALJ810111,Normalized frequency of beta-sheet in alpha+beta class,Group 2
PALJ810112,Normalized frequency of beta-sheet in alpha/beta class,Group 2
PALJ810113,Normalized frequency of turn in all-alpha class,Group 2
PALJ810114,Normalized frequency of turn in all-beta class,Group 2
PALJ810115,Normalized frequency of turn in alpha+beta class,Group 2
PALJ810116,Normalized frequency of turn in alpha/beta class,Group 2
PARJ860101,HPLC parameter,Group 0
PLIV810101,Partition coefficient,Group 2
PONP800101,Surrounding hydrophobicity in folded form,Group 4
PONP800102,Average gain in surrounding hydrophobicity,Group 0
PONP800103,Average gain ratio in surrounding hydrophobicity,Group 2
PONP800104,Surrounding hydrophobicity in alpha-helix,Group 0
PONP800105,Surrounding hydrophobicity in beta-sheet,Group 0
PONP800106,Surrounding hydrophobicity in turn,Group 2
PONP800107,Accessibility reduction ratio,Group 3
PONP800108,Average number of surrounding residues,Group 7
PRAM820101,Intercept in regression analysis,Group 0
PRAM820102,Slope in regression analysis x 1.0E1,Group 2
PRAM820103,Correlation coefficient in regression analysis,Group 7
PRAM900101,Hydrophobicity,Group 0
PRAM900102,Relative frequency in alpha-helix,Group 2
PRAM900103,Relative frequency in beta-sheet,Group 2
PRAM900104,Relative frequency in reverse-turn,Group 4
PTIO830101,Helix-coil equilibrium constant,Group 7
PTIO830102,Beta-coil equilibrium constant,Group 7
QIAN880101,Weights for alpha-helix at the window position of -6,Group 3
QIAN880102,Weights for alpha-helix at the window position of -5,Group 3
QIAN880103,Weights for alpha-helix at the window position of -4,Group 3
QIAN880104,Weights for alpha-helix at the window position of -3,Group 3
QIAN880105,Weights for alpha-helix at the window position of -2,Group 3
QIAN880106,Weights for alpha-helix at the window position of -1,Group 3
QIAN880107,Weights for alpha-helix at the window position of 0,Group 3
QIAN880108,Weights for alpha-helix at the window position of 1,Group 3
QIAN880109,Weights for alpha-helix at the window position of 2,Group 3
QIAN880110,Weights for alpha-helix at the window position of 3,Group 3
QIAN880111,Weights for alpha-helix at the window position of 4,Group 3
QIAN880112,Weights for alpha-helix at the window position of 5,Group 3
QIAN880113,Weights for alpha-helix at the window position of 6,Group 3
QIAN880114,Weights for beta-sheet at the window position of -6,Group 3
QIAN880115,Weights for beta-sheet at the window position of -5,Group 3
QIAN880116,Weights for beta-sheet at the window position of -4,Group 3
QIAN880117,Weights for beta-sheet at the window position of -3,Group 3
QIAN880118,Weights for beta-sheet at the window position of -2,Group 3
QIAN880119,Weights for beta-sheet at the window position of -1,Group 3
QIAN880120,Weights for beta-sheet at the window position of 0,Group 3
QIAN880121,Weights for beta-sheet at the window position of 1,Group 3
QIAN880122,Weights for beta-sheet at the window position of 2,Group 3
QIAN880123,Weights for beta-sheet at the window position of 3,Group 3
QIAN880124,Weights for beta-sheet at the window position of 4,Group 3
QIAN880125,Weights for beta-sheet at the window position of 5,Group 3
QIAN880126,Weights for beta-sheet at the window position of 6,Group 3
QIAN880127,Weights for coil at the window position of -6,Group 3
QIAN880128,Weights for coil at the window position of -5,Group 3
QIAN880129,Weights for coil at the window position of -4,Group 3
QIAN880130,Weights for coil at the window position of -3,Group 3
QIAN880131,Weights for coil at the window position of -2,Group 3
QIAN880132,Weights for coil at the window position of -1,Group 3
QIAN880133,Weights for coil at the window position of 0,Group 3
QIAN880134,Weights for coil at the window position of 1,Group 3
QIAN880135,Weights for coil at the window position of 2,Group 3
QIAN880136,Weights for coil at the window position of 3,Group 3
QIAN880137,Weights for coil at the window position of 4,Group 3
QIAN880138,Weights for coil at the window position of 5,Group 3
QIAN880139,Weights for coil at the window position of 6,Group 3
RACS770101,Average reduced distance for C-alpha,Group 0
RACS770102,Average reduced distance for side chain,Group 0
RACS770103,Side chain orientational preference,Group 4
RACS820101,Average relative fractional occurrence in A0(i),Group 1
RACS820102,Average relative fractional occurrence in AR(i),Group 1
RACS820103,Average relative fractional occurrence in AL(i),Group 1
RACS820104,Average relative fractional occurrence in EL(i),Group 1
RACS820105,Average relative fractional occurrence in E0(i),Group 1
RACS820106,Average relative fractional occurrence in ER(i),Group 1
RACS820107,Average relative fractional occurrence in A0(i-1),Group 1
RACS820108,Average relative fractional occurrence in AR(i-1),Group 1
RACS820109,Average relative fractional occurrence in AL(i-1),Group 1
RACS820110,Average relative fractional occurrence in EL(i-1),Group 1
RACS820111,Average relative fractional occurrence in E0(i-1),Group 1
RACS820112,Average relative fractional occurrence in ER(i-1),Group 1
RACS820113,Value of theta(i),Group 1
RACS820114,Value of theta(i-1),Group 1
RADA880101,Transfer free energy from chx to wat,Group 2
RADA880102,Transfer free energy from oct to wat,Group 2
RADA880103,Transfer free energy from vap to chx,Group 2
RADA880104,Transfer free energy from chx to oct,Group 2
RADA880105,Transfer free energy from vap to oct,Group 2
RADA880106,Accessible surface area,Group 1
RADA880107,Energy transfer from out to in(95%buried),Group 0
RADA880108,Mean polarity,Group 7
RICJ880101,"Relative preference value at N""",Group 1
RICJ880102,Relative preference value at N',Group 1
RICJ880103,Relative preference value at N-cap,Group 1
RICJ880104,Relative preference value at N1,Group 1
RICJ880105,Relative preference value at N2,Group 1
RICJ880106,Relative preference value at N3,Group 1
RICJ880107,Relative preference value at N4,Group 1
RICJ880108,Relative preference value at N5,Group 1
RICJ880109,Relative preference value at Mid,Group 1
RICJ880110,Relative preference value at C5,Group 1
RICJ880111,Relative preference value at C4,Group 1
RICJ880112,Relative preference value at C3,Group 1
RICJ880113,Relative preference value at C2,Group 1
RICJ880114,Relative preference value at C1,Group 1
RICJ880115,Relative preference value at C-cap,Group 1
RICJ880116,Relative preference value at C',Group 4
RICJ880117,"Relative preference value at C""",Group 1
ROBB760101,Information measure for alpha-helix,Group 7
ROBB760102,Information measure for N-terminal helix,Group 0
ROBB760103,Information measure for middle helix,Group 0
ROBB760104,Information measure for C-terminal helix,Group 0
ROBB760105,Information measure for extended,Group 0
ROBB760106,Information measure for pleated-sheet,Group 7
ROBB760107,Information measure for extended without H-bond,Group 7
ROBB760108,Information measure for turn,Group 0
ROBB760109,Information measure for N-terminal turn,Group 7
ROBB760110,Information measure for middle turn,Group 7
ROBB760111,Information measure for C-terminal turn,Group 7
ROBB760112,Information measure for coil,Group 7
ROBB760113,Information measure for loop,Group 7
ROBB790101,Hydration free energy,Group 0
ROSG850101,Mean area buried on transfer,Group 7
ROSG850102,Mean fractional area loss,Group 4
ROSM880101,"Side chain hydropathy, uncorrected for solvation",Group 7
ROSM880102,"Side chain hydropathy, corrected for solvation",Group 7
ROSM880103,Loss of Side chain hydropathy by helix formation,Group 0
SIMZ760101,Transfer free energy,Group 2
SNEP660101,Principal component I,Group 4
SNEP660102,Principal component II,Group 1
SNEP660103,Principal component III,Group 1
SNEP660104,Principal component IV,Group 1
SUEM840101,Zimm-Bragg parameter s at 20 C,Group 1
SUEM840102,Zimm-Bragg parameter sigma x 1.0E4,Group 4
SWER830101,Optimal matching hydrophobicity,Group 7
TANS770101,Normalized frequency of alpha-helix,Group 0
TANS770102,Normalized frequency of isolated helix,Group 4
TANS770103,Normalized frequency of extended structure,Group 2
TANS770104,Normalized frequency of chain reversal R,Group 4
TANS770105,Normalized frequency of chain reversal S,Group 4
TANS770106,Normalized frequency of chain reversal D,Group 4
TANS770107,Normalized frequency of left-handed helix,Group 2
TANS770108,Normalized frequency of zeta R,Group 4
TANS770109,Normalized frequency of coil,Group 0
TANS770110,Normalized frequency of chain reversal,Group 2
VASM830101,Relative population of conformational state A,Group 1
VASM830102,Relative population of conformational state C,Group 1
VASM830103,Relative population of conformational state E,Group 1
VELV850101,Electron-ion interaction potential,Group 3
VENT840101,Bitterness,Group 0
VHEG790101,Transfer free energy to lipophilic phase,Group 2
WARP780101,Average interactions per side chain atom,Group 1
WEBA780101,RF value in high salt chromatography,Group 4
WERD780101,Propensity to be buried inside,Group 7
WERD780102,Free energy change of epsilon(i) to epsilon(ex),Group 1
WERD780103,Free energy change of alpha(Ri) to alpha(Rh),Group 1
WERD780104,Free energy change of epsilon(i) to alpha(Rh),Group 1
WOEC730101,Polar requirement,Group 2
WOLR810101,Hydration potential,Group 3
WOLS870101,Principal property value z1,Group 1
WOLS870102,Principal property value z2,Group 1
WOLS870103,Principal property value z3,Group 1
YUTK870101,"Unfolding Gibbs energy in water, pH7.0",Group 2
YUTK870102,"Unfolding Gibbs energy in water, pH9.0",Group 2
YUTK870103,"Activation Gibbs energy of unfolding, pH7.0",Group 2
YUTK870104,"Activation Gibbs energy of unfolding, pH9.0",Group 2
ZASB820101,Dependence of partition coefficient on ionic strength,Group 7
ZIMJ680101,Hydrophobicity,Group 0
ZIMJ680102,Bulkiness,Group 0
ZIMJ680103,Polarity,Group 0
ZIMJ680104,Isoelectric point,Group 2
ZIMJ680105,RF rank,Group 2
AURR980101,Normalized positional residue frequency at helix termini N4',Group 1
AURR980102,"Normalized positional residue frequency at helix termini N""' ",Group 1
AURR980103,"Normalized positional residue frequency at helix termini N"" ",Group 1
AURR980104,Normalized positional residue frequency at helix termini N',Group 1
AURR980105,Normalized positional residue frequency at helix termini Nc ,Group 1
AURR980106,Normalized positional residue frequency at helix termini N1 ,Group 1
AURR980107,Normalized positional residue frequency at helix termini N2 ,Group 1
AURR980108,Normalized positional residue frequency at helix termini N3 ,Group 1
AURR980109,Normalized positional residue frequency at helix termini N4 ,Group 1
AURR980110,Normalized positional residue frequency at helix termini N5 ,Group 1
AURR980111,Normalized positional residue frequency at helix termini C5 ,Group 1
AURR980112,Normalized positional residue frequency at helix termini C4 ,Group 6
AURR980113,Normalized positional residue frequency at helix termini C3 ,Group 1
AURR980114,Normalized positional residue frequency at helix termini C2 ,Group 1
AURR980115,Normalized positional residue frequency at helix termini C1 ,Group 1
AURR980116,Normalized positional residue frequency at helix termini Cc ,Group 6
AURR980117,Normalized positional residue frequency at helix termini C' ,Group 1
AURR980118,"Normalized positional residue frequency at helix termini C"" ",Group 1
AURR980119,"Normalized positional residue frequency at helix termini C""' ",Group 1
AURR980120,Normalized positional residue frequency at helix termini C4' ,Group 6
ONEK900101,Delta G values for the peptides extrapolated to 0 M urea,Group 5
ONEK900102,Helix formation parameters (delta delta G),Group 0
VINM940101,"Normalized flexibility parameters (B-values), average",Group 2
VINM940102,Normalized flexibility parameters (B-values) for each residue surrounded by none rigid neighbours,Group 2
VINM940103,Normalized flexibility parameters (B-values) for each residue surrounded by one rigid neighbours,Group 2
VINM940104,Normalized flexibility parameters (B-values) for each residue surrounded by two rigid neighbours,Group 2
MUNV940101,Free energy in alpha-helical conformation,Group 2
MUNV940102,Free energy in alpha-helical region,Group 2
MUNV940103,Free energy in beta-strand conformation,Group 2
MUNV940104,Free energy in beta-strand region,Group 2
MUNV940105,Free energy in beta-strand region,Group 2
WIMW960101,Free energies of transfer of AcWl-X-LL peptides from bilayer interface to water,Group 2
KIMC930101,Thermodynamic beta sheet propensity,Group 0
MONM990101,Turn propensity scale for transmembrane helices,Group 3
BLAM930101,Alpha helix propensity of position 44 in T4 lysozyme,Group 2
PARS000101,p-Values of mesophilic proteins based on the distributions of B values,Group 5
PARS000102,p-Values of thermophilic proteins based on the distributions of B values,Group 5
KUMS000101,Distribution of amino acid residues in the 18 non-redundant families of thermophilic proteins,Group 6
KUMS000102,Distribution of amino acid residues in the 18 non-redundant families of mesophilic proteins,Group 6
KUMS000103,Distribution of amino acid residues in the alpha-helices in thermophilic proteins,Group 6
KUMS000104,Distribution of amino acid residues in the alpha-helices in mesophilic proteins,Group 6
TAKK010101,Side-chain contribution to protein stability (kJ/mol),Group 0
FODM020101,Propensity of amino acids within pi-helices,Group 4
NADH010101,Hydropathy scale based on self-information values in the two-state model (5% accessibility),Group 3
NADH010102,Hydropathy scale based on self-information values in the two-state model (9% accessibility),Group 5
NADH010103,Hydropathy scale based on self-information values in the two-state model (16% accessibility),Group 5
NADH010104,Hydropathy scale based on self-information values in the two-state model (20% accessibility),Group 5
NADH010105,Hydropathy scale based on self-information values in the two-state model (25% accessibility),Group 5
NADH010106,Hydropathy scale based on self-information values in the two-state model (36% accessibility),Group 5
NADH010107,Hydropathy scale based on self-information values in the two-state model (50% accessibility),Group 5
MONM990201,Averaged turn propensities in a transmembrane helix,Group 4
KOEP990101,Alpha-helix propensity derived from designed sequences,Group 3
KOEP990102,Beta-sheet propensity derived from designed sequences,Group 3
CEDJ970101,Composition of amino acids in extracellular proteins (percent),Group 1
CEDJ970102,Composition of amino acids in anchored proteins (percent),Group 6
CEDJ970103,Composition of amino acids in membrane proteins (percent),Group 6
CEDJ970104,Composition of amino acids in intracellular proteins (percent),Group 1
CEDJ970105,Composition of amino acids in nuclear proteins (percent),Group 1
FUKS010101,Surface composition of amino acids in intracellular proteins of thermophiles (percent),Group 1
FUKS010102,Surface composition of amino acids in intracellular proteins of mesophiles (percent),Group 1
FUKS010103,Surface composition of amino acids in extracellular proteins of mesophiles (percent),Group 1
FUKS010104,Surface composition of amino acids in nuclear proteins (percent),Group 1
FUKS010105,Interior composition of amino acids in intracellular proteins of thermophiles (percent),Group 6
FUKS010106,Interior composition of amino acids in intracellular proteins of mesophiles (percent),Group 1
FUKS010107,Interior composition of amino acids in extracellular proteins of mesophiles (percent),Group 1
FUKS010108,Interior composition of amino acids in nuclear proteins (percent),Group 1
FUKS010109,Entire chain composition of amino acids in intracellular proteins of thermophiles (percent),Group 6
FUKS010110,Entire chain composition of amino acids in intracellular proteins of mesophiles (percent),Group 1
FUKS010111,Entire chain composition of amino acids in extracellular proteins of mesophiles (percent),Group 6
FUKS010112,Entire chain compositino of amino acids in nuclear proteins (percent),Group 6
AVBF000101,"Screening coefficients gamma, local",Group 0
AVBF000102,"Screening coefficients gamma, non-local",Group 0
AVBF000103,"Slopes tripeptide, FDPB VFF neutral",Group 1
AVBF000104,"Slopes tripeptides, LD VFF neutral",Group 6
AVBF000105,"Slopes tripeptide, FDPB VFF noside",Group 1
AVBF000106,Slopes tripeptide FDPB VFF all,Group 4
AVBF000107,Slopes tripeptide FDPB PARSE neutral,Group 6
AVBF000108,"Slopes dekapeptide, FDPB VFF neutral",Group 6
AVBF000109,"Slopes proteins, FDPB VFF neutral",Group 1
YANJ020101,Side-chain conformation by gaussian evolutionary method,Group 4
MITS020101,Amphiphilicity index,Group 7
TSAJ990101,Volumes including the crystallographic waters using the ProtOr,Group 3
TSAJ990102,Volumes not including the crystallographic waters using the ProtOr,Group 5
COSI940101,Electron-ion interaction potential values,Group 3
PONP930101,Hydrophobicity scales,Group 7
WILM950101,"Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/MeCN/H2O",Group 3
WILM950102,"Hydrophobicity coefficient in RP-HPLC, C8 with 0.1%TFA/MeCN/H2O",Group 5
WILM950103,"Hydrophobicity coefficient in RP-HPLC, C4 with 0.1%TFA/MeCN/H2O",Group 3
WILM950104,"Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/2-PrOH/MeCN/H2O",Group 3
KUHL950101,Hydrophilicity scale,Group 3
GUOD860101,Retention coefficient at pH 2,Group 3
JURD980101,Modified Kyte-Doolittle hydrophobicity scale,Group 3
BASU050101,Interactivity scale obtained from the contact matrix,Group 3
BASU050102,Interactivity scale obtained by maximizing the mean of correlation coefficient over single-domain globular proteins,Group 3
BASU050103,Interactivity scale obtained by maximizing the mean of correlation coefficient over pairs of sequences sharing the TIM barrel fold,Group 5
SUYM030101,Linker propensity index,Group 7
PUNT030101,Knowledge-based membrane-propensity scale from 1D_Helix in MPtopo databases,Group 3
PUNT030102,Knowledge-based membrane-propensity scale from 3D_Helix in MPtopo databases,Group 3
GEOR030101,Linker propensity from all dataset,Group 7
GEOR030102,Linker propensity from 1-linker dataset,Group 7
GEOR030103,Linker propensity from 2-linker dataset,Group 7
GEOR030104,Linker propensity from 3-linker dataset,Group 7
