properties_values,label
PALJ810111,0
PALJ810112,0
PALJ810113,0
PALJ810114,0
PALJ810115,0
PALJ810116,0
PARJ860101,0
PLIV810101,0
PONP800101,0
PONP800102,0
PONP800103,0
PONP800104,0
PONP800105,0
PONP800106,0
PONP800107,0
PONP800108,0
PRAM820101,0
PRAM820102,0
PRAM820103,0
PRAM900101,0
PRAM900102,0
PRAM900103,0
PRAM900104,0
PTIO830101,0
PTIO830102,0
QIAN880101,0
QIAN880102,0
QIAN880103,0
QIAN880104,0
QIAN880105,0
QIAN880106,0
QIAN880107,0
QIAN880108,0
QIAN880109,0
QIAN880110,0
QIAN880111,0
QIAN880112,0
QIAN880113,0
QIAN880114,0
QIAN880115,0
QIAN880116,0
QIAN880117,0
QIAN880118,0
QIAN880119,0
QIAN880120,0
QIAN880121,0
QIAN880122,0
QIAN880123,0
QIAN880124,0
QIAN880125,0
QIAN880126,0
QIAN880127,0
QIAN880128,0
QIAN880129,0
QIAN880130,0
QIAN880131,0
QIAN880132,0
QIAN880133,0
QIAN880134,0
QIAN880135,0
QIAN880136,0
QIAN880137,0
QIAN880138,0
QIAN880139,0
RACS770101,0
RACS770102,0
RACS770103,0
RACS820101,0
RACS820102,0
RACS820103,0
RACS820104,0
RACS820105,0
RACS820106,0
RACS820107,0
RACS820108,0
RACS820109,0
RACS820110,0
RACS820111,0
RACS820112,0
RACS820113,0
RACS820114,0
RADA880101,0
RADA880102,0
RADA880103,0
RADA880104,0
RADA880105,0
RADA880106,0
RADA880107,0
RADA880108,0
RICJ880101,0
RICJ880102,0
RICJ880103,0
RICJ880104,0
RICJ880105,0
RICJ880106,0
RICJ880107,0
RICJ880108,0
RICJ880109,0
RICJ880110,0
RICJ880111,0
RICJ880112,0
RICJ880113,0
RICJ880114,0
RICJ880115,0
RICJ880116,0
RICJ880117,0
ROBB760101,0
ROBB760102,0
ROBB760103,0
ROBB760104,0
ROBB760105,0
ROBB760106,0
ROBB760107,0
ROBB760108,0
ROBB760109,0
ROBB760110,0
ROBB760111,0
ROBB760112,0
ROBB760113,0
ROBB790101,0
ROSG850101,0
ROSG850102,0
ROSM880101,0
ROSM880102,0
ROSM880103,0
SIMZ760101,0
SNEP660101,0
SNEP660102,0
SNEP660103,0
SNEP660104,0
SUEM840101,0
SUEM840102,0
SWER830101,0
TANS770101,0
TANS770102,0
TANS770103,0
TANS770104,0
TANS770105,0
TANS770106,0
TANS770107,0
TANS770108,0
TANS770109,0
TANS770110,0
VASM830101,0
VASM830102,0
VASM830103,0
VELV850101,0
VENT840101,0
VHEG790101,0
WARP780101,0
WEBA780101,0
WERD780101,0
WERD780102,0
WERD780103,0
WERD780104,0
WOEC730101,0
WOLR810101,0
WOLS870101,0
WOLS870102,0
WOLS870103,0
YUTK870101,0
YUTK870102,0
YUTK870103,0
YUTK870104,0
ZASB820101,0
ZIMJ680101,0
ZIMJ680102,0
ZIMJ680103,0
ZIMJ680104,0
ZIMJ680105,0
AURR980101,0
AURR980102,0
AURR980103,0
AURR980104,0
AURR980105,0
AURR980106,0
AURR980107,0
AURR980108,0
AURR980109,0
AURR980110,0
AURR980111,0
AURR980112,0
AURR980113,0
AURR980114,0
AURR980115,0
AURR980116,0
AURR980117,0
AURR980118,0
AURR980119,0
AURR980120,0
ONEK900101,0
ONEK900102,0
VINM940101,0
VINM940102,0
VINM940103,0
VINM940104,0
MUNV940101,0
MUNV940102,0
MUNV940103,0
MUNV940104,0
MUNV940105,0
WIMW960101,0
KIMC930101,0
MONM990101,0
BLAM930101,0
PARS000101,0
PARS000102,0
KUMS000101,0
KUMS000102,0
KUMS000103,0
KUMS000104,0
TAKK010101,0
FODM020101,0
NADH010101,0
NADH010102,0
NADH010103,0
NADH010104,0
NADH010105,0
NADH010106,0
NADH010107,0
MONM990201,0
KOEP990101,0
KOEP990102,0
CEDJ970101,0
CEDJ970102,0
CEDJ970103,0
CEDJ970104,0
CEDJ970105,0
FUKS010101,0
FUKS010102,0
FUKS010103,0
FUKS010104,0
FUKS010105,0
FUKS010106,0
FUKS010107,0
FUKS010108,0
FUKS010109,0
FUKS010110,0
FUKS010111,0
FUKS010112,0
MITS020101,0
TSAJ990101,0
TSAJ990102,0
COSI940101,0
PONP930101,0
WILM950101,0
WILM950102,0
WILM950103,0
WILM950104,0
KUHL950101,0
GUOD860101,0
JURD980101,0
BASU050101,0
BASU050102,0
BASU050103,0
SUYM030101,0
PUNT030101,0
PUNT030102,0
GEOR030101,0
GEOR030102,0
GEOR030103,0
GEOR030104,0
GEOR030105,0
GEOR030106,0
GEOR030107,0
GEOR030108,0
GEOR030109,0
ZHOH040101,0
ZHOH040102,0
ZHOH040103,0
BAEK050101,0
HARY940101,0
PONJ960101,0
DIGM050101,0
WOLR790101,0
OLSK800101,0
KIDA850101,0
GUYH850102,0
GUYH850104,0
GUYH850105,0
JACR890101,0
COWR900101,0
BLAS910101,0
CASG920101,0
CORJ870101,0
CORJ870102,0
CORJ870103,0
CORJ870104,0
CORJ870105,0
CORJ870106,0
CORJ870107,0
CORJ870108,0
MIYS990101,0
MIYS990102,0
MIYS990103,0
MIYS990104,0
MIYS990105,0
ENGD860101,0
FASG890101,0
KARS160101,0
KARS160102,0
KARS160103,0
KARS160104,0
KARS160105,0
KARS160106,0
KARS160107,0
KARS160108,0
KARS160109,0
KARS160110,0
KARS160111,0
KARS160112,0
KARS160113,0
KARS160114,0
KARS160115,0
KARS160116,0
KARS160117,0
KARS160118,0
KARS160119,0
KARS160120,0
KARS160121,0
KARS160122,0
